,sigma_sq,alpha
396,2.510503476,11.89609106
397,2.433070213,9.870127748
398,3.138159695,10.79209434
399,3.339402393,15.87772273
400,4.104969859,11.55973679
401,2.744740998,15.66889628
402,2.594527494,20.40248552
403,3.250780488,9.290682641
404,3.532428953,11.6129238
405,2.625447665,11.11551372
406,2.721784458,11.87854391
407,2.113784619,13.18503114
408,2.658975636,11.03021942
409,3.240835604,11.53635457
410,2.629803475,10.06909315
411,2.893572849,13.05774674
412,2.900470463,13.18097795
413,3.11246988,11.90975694
414,3.460973062,15.72370843
415,3.701815873,14.20008063
416,2.437281208,17.95313418
417,2.394091514,12.52542529
418,2.583834308,15.84469891
419,3.070320534,15.19383523
420,4.521225085,11.20830316
421,2.900563618,10.84026726
422,3.829644467,9.439091997
423,3.02228872,15.11723413
424,2.547011802,14.44866064
425,2.865633907,12.68585741
426,2.627394726,22.99280177
427,4.165712808,14.35159018
428,2.868472155,11.47090016
429,3.446790066,13.55409123
430,2.68189206,11.75413129
431,3.979721353,12.59113734
432,2.929058138,13.72431589
433,4.25745086,15.12414675
434,2.58006701,9.640801934
435,3.025210502,11.99570427
436,2.916903449,11.0551696
437,2.5343914,19.84984352
438,3.098164173,13.23474518
439,2.693405462,13.77345814
440,2.967520268,14.90015993
441,2.630024421,12.94162331
442,3.128145599,9.943262914
443,3.180418927,15.39223547
444,2.388765061,12.51958565
445,3.816247612,11.32174504
446,3.284532121,9.605781367
447,3.066817937,15.90860336
448,2.61812929,14.34561005
449,2.551063325,12.83110481
450,3.121125848,12.74217213
451,2.62095453,12.35858611
452,4.555504007,10.99084956
453,3.095667857,15.29317388
454,3.413616861,12.61701615
455,2.964243561,12.77334185
456,3.189477944,10.62694025
457,3.943631521,13.08653161
458,2.636247541,12.09600588
459,2.903501587,9.302347163
460,3.847901445,18.41044147
461,2.723647505,11.83547019
462,4.261138934,9.811509511
463,2.609801213,18.71106505
464,2.831443207,13.25264638
465,2.556013541,16.30365785
466,2.552268129,15.7034833
467,2.676916408,11.52150116
468,3.578109261,12.56409015
469,3.768663227,14.53211986
470,3.332065547,14.55229002
471,2.239256476,10.26924699
472,3.568128918,10.5573642
473,3.217627695,15.56203529
474,2.512926394,11.03791401
